iter	RMSE
0	14.64305051
1	14.2903346
2	13.95247734
3	13.61345477
4	13.27755128
5	12.98569599
6	12.68351682
7	12.40960532
8	12.15625837
9	11.86437889
10	11.60716913
11	11.3867603
12	11.15968302
13	10.94428738
14	10.71213232
15	10.5218389
16	10.32199575
17	10.13314239
18	9.937420773
19	9.741173011
20	9.606991618
21	9.431212458
22	9.25025897
23	9.081612854
24	8.925160394
25	8.771745146
26	8.651994725
27	8.508185564
28	8.373933422
29	8.250140077
30	8.124012243
31	7.994997712
32	7.875909326
33	7.757432618
34	7.6502179
35	7.547529359
36	7.484410081
37	7.393070419
38	7.295182916
39	7.219087681
40	7.127552431
41	7.058692111
42	6.984938918
43	6.911366175
44	6.839791447
45	6.766359969
46	6.711208574
47	6.652280804
48	6.595541315
49	6.54178861
50	6.491083897
51	6.447470069
52	6.392067774
53	6.344205591
54	6.289554859
55	6.249929851
56	6.205362888
57	6.167112815
58	6.124150112
59	6.087315651
60	6.050431115
61	6.013020611
62	5.979728106
63	5.956120146
64	5.915210317
65	5.880816316
66	5.855569862
67	5.82370286
68	5.798004465
69	5.774987421
70	5.756215091
71	5.735616838
72	5.714930237
73	5.692300768
74	5.67068775
75	5.653422096
76	5.632315646
77	5.616522962
78	5.58984701
79	5.575745523
80	5.559765131
81	5.541221292
82	5.521909666
83	5.50070524
84	5.493346784
85	5.479701581
86	5.465496933
87	5.455888643
88	5.445202211
89	5.432713605
90	5.416963474
91	5.406897071
92	5.394059944
93	5.384431438
94	5.374674261
95	5.360981673
96	5.348277071
97	5.337167688
98	5.328825579
99	5.319110777
100	5.313643451
101	5.298155561
102	5.288432376
103	5.281201455
104	5.272633873
105	5.260778583
106	5.244812583
107	5.235755585
108	5.225331658
109	5.218231539
110	5.208788521
111	5.201401157
112	5.195025183
113	5.187367783
114	5.182326072
115	5.173893559
116	5.166700877
117	5.160129183
118	5.149545063
119	5.140504524
120	5.138503474
121	5.130083545
122	5.127399163
123	5.120821023
124	5.116049695
125	5.1069237
126	5.098647389
127	5.087419971
128	5.080217742
129	5.074386119
130	5.068189822
131	5.062483326
132	5.058016103
133	5.052629307
134	5.047310792
135	5.043900986
136	5.037947972
137	5.034283813
138	5.029671939
139	5.024773999
140	5.020171204
141	5.018067848
142	5.011987952
143	5.0057924
144	5.001867933
145	4.999719697
146	4.996765116
147	4.991944138
148	4.985385481
149	4.979508984
150	4.975513045
151	4.971414785
152	4.966285169
153	4.956795703
154	4.952261797
155	4.945483596
156	4.940540854
157	4.932336506
158	4.927077525
159	4.922133958
160	4.920785877
161	4.915770008
162	4.908345028
163	4.904027743
164	4.90343088
165	4.900574681
166	4.894631923
167	4.886994488
168	4.883210974
169	4.876437989
170	4.871361673
171	4.869203867
172	4.865179614
173	4.859462877
174	4.858947143
175	4.854853622
176	4.849278726
177	4.844778284
178	4.840269721
179	4.834153502
180	4.829354509
181	4.826440923
182	4.821938285
183	4.815873519
184	4.813416104
185	4.806792605
186	4.803049953
187	4.799548338
188	4.794342123
189	4.790541249
190	4.788371871
191	4.78655588
192	4.782284299
193	4.779870839
194	4.774081337
195	4.771937573
196	4.766408966
197	4.763133572
198	4.759786111
199	4.757389403
200	4.753527559
201	4.750765711
202	4.744830499
203	4.743169219
204	4.737757752
205	4.732293503
206	4.728704247
207	4.726699776
208	4.72097625
209	4.717898353
210	4.71251651
211	4.706441874
212	4.700760306
213	4.697091833
214	4.693535328
215	4.691431153
216	4.688858024
217	4.685331686
218	4.678601138
219	4.676667308
220	4.672199839
221	4.668524127
222	4.666698056
223	4.663276291
224	4.659487832
225	4.657927823
226	4.655745813
227	4.650280658
228	4.649030231
229	4.643004678
230	4.636801847
231	4.635740735
232	4.63385482
233	4.631315609
234	4.630178824
235	4.62969542
236	4.628553996
237	4.62663965
238	4.624432572
239	4.622877272
240	4.617537414
241	4.616213862
242	4.614246129
243	4.610905226
244	4.609642231
245	4.605604447
246	4.604424117
247	4.604044168
248	4.599311176
249	4.59679961
250	4.592837773
251	4.590532285
252	4.589364402
253	4.584253227
254	4.580965526
255	4.577841814
256	4.573626037
257	4.571326658
258	4.570886429
259	4.570094118
260	4.569323677
261	4.566788567
262	4.562890076
263	4.560939564
264	4.555948137
265	4.550031167
266	4.545254609
267	4.544911034
268	4.540066119
269	4.537680702
270	4.534912444
271	4.533525886
272	4.528155649
273	4.524619124
274	4.522835259
275	4.520960975
276	4.519756809
277	4.513898237
278	4.510202213
279	4.509908807
280	4.50410306
281	4.497995969
282	4.495016615
283	4.490743551
284	4.485415856
285	4.482394099
286	4.475278131
287	4.472485002
288	4.471485398
289	4.471198623
290	4.469572743
291	4.467604987
292	4.466834866
293	4.464910478
294	4.46285634
295	4.458968582
296	4.455734649
297	4.452236954
298	4.450396088
299	4.447540566
300	4.443469471
301	4.44158539
302	4.440967547
303	4.43360481
304	4.431415796
305	4.428408302
306	4.428314007
307	4.42557306
308	4.419326656
309	4.412723252
310	4.412631343
311	4.408796023
312	4.405261055
313	4.397536292
314	4.395242062
315	4.390289954
316	4.390203013
317	4.387242068
318	4.382545232
319	4.378147022
320	4.377646319
321	4.373149602
322	4.368786251
323	4.364600477
324	4.362528897
325	4.360621835
326	4.355283896
327	4.351828481
328	4.350326804
329	4.349195797
330	4.34831188
331	4.345198563
332	4.342015043
333	4.336236925
334	4.336157996
335	4.332986936
336	4.328085387
337	4.327232661
338	4.321645358
339	4.32080441
340	4.315989828
341	4.31255689
342	4.305935494
343	4.299854588
344	4.297455022
345	4.29653732
346	4.291188087
347	4.287239429
348	4.286979214
349	4.286242126
350	4.282007645
351	4.279823654
352	4.275096332
353	4.269426317
354	4.265822559
355	4.260531957
356	4.254833512
357	4.252400093
358	4.245322815
359	4.242665036
360	4.238992665
361	4.235207245
362	4.23105749
363	4.226101212
364	4.224534285
365	4.222814257
366	4.220957093
367	4.218406988
368	4.213405648
369	4.208445099
370	4.20611579
371	4.201075553
372	4.197308763
373	4.194640797
374	4.192275506
375	4.18993705
376	4.186350913
377	4.185270528
378	4.180352377
379	4.178257187
380	4.174465031
381	4.171371941
382	4.168198737
383	4.16642989
384	4.164789214
385	4.163134129
386	4.162707821
387	4.160766201
388	4.155072687
389	4.151303807
390	4.147861499
391	4.144215785
392	4.138030419
393	4.137255567
394	4.133763956
395	4.127684954
396	4.12442806
397	4.121072993
398	4.11755087
399	4.116452075
400	4.114542415
401	4.110324053
402	4.10750284
403	4.107181315
404	4.102603974
405	4.098929068
406	4.095321013
407	4.091866247
408	4.091057782
409	4.08837457
410	4.08432196
411	4.078571779
412	4.076558234
413	4.072777604
414	4.071625538
415	4.068380157
416	4.065657728
417	4.063060728
418	4.059753645
419	4.057119889
420	4.053669146
421	4.053428824
422	4.050839566
423	4.050776003
424	4.049302224
425	4.046801549
426	4.044149331
427	4.043627374
428	4.043404069
429	4.042433952
430	4.042062453
431	4.0391672
432	4.03814221
433	4.034897183
434	4.030945114
435	4.028913512
436	4.026252533
437	4.02245334
438	4.022274893
439	4.017576017
440	4.015330811
441	4.010807541
442	4.008187152
443	4.005885065
444	4.001841821
445	3.997761319
446	3.99335518
447	3.991203698
448	3.988900643
449	3.988683708
450	3.987932428
451	3.982983544
452	3.979713653
453	3.978597508
454	3.976350852
455	3.970902965
456	3.969433185
457	3.965539736
458	3.961008063
459	3.957372723
460	3.953762011
461	3.948676401
462	3.947182753
463	3.944471256
464	3.940178922
465	3.937325702
466	3.936734457
467	3.929622062
468	3.928576267
469	3.925508551
470	3.922384111
471	3.920243975
472	3.916529285
473	3.915447939
474	3.914118406
475	3.911015131
476	3.907106595
477	3.905836424
478	3.903744971
479	3.901257939
480	3.90058875
481	3.89625788
482	3.895785223
483	3.892850144
484	3.889983939
