iter	Passed	Remaining
0	0	893
1	1	779
2	2	791
3	3	788
4	3	762
5	4	738
6	5	727
7	5	711
8	6	699
9	6	687
10	7	685
11	8	686
12	8	681
13	9	692
14	10	697
15	11	699
16	12	704
17	12	704
18	13	702
19	14	703
20	15	704
21	15	703
22	16	700
23	17	700
24	17	698
25	18	697
26	19	696
27	19	692
28	20	690
29	21	690
30	22	688
31	22	689
32	23	683
33	24	684
34	25	691
35	25	691
36	26	686
37	27	688
38	28	690
39	28	691
40	29	691
41	30	688
42	30	688
43	31	686
44	32	684
45	32	682
46	33	680
47	34	678
48	34	678
49	35	683
50	36	684
51	37	685
52	38	684
53	38	681
54	39	681
55	40	683
56	41	680
57	41	681
58	42	680
59	43	679
60	44	678
61	44	677
62	45	676
63	46	674
64	46	672
65	47	670
66	48	668
67	48	667
68	49	666
69	50	665
70	51	668
71	52	676
72	53	678
73	54	683
74	55	689
75	56	691
76	57	690
77	58	690
78	59	691
79	60	690
80	60	691
81	61	694
82	62	693
83	63	693
84	64	691
85	65	691
86	65	692
87	66	693
88	67	692
89	68	692
90	69	690
91	70	693
92	70	692
93	71	692
94	72	691
95	73	691
96	74	691
97	75	690
98	75	690
99	76	689
100	77	688
101	78	687
102	78	687
103	79	686
104	80	686
105	81	685
106	82	685
107	82	685
108	83	683
109	84	683
110	85	682
111	85	681
112	86	681
113	87	680
114	88	679
115	89	679
116	89	678
117	90	677
118	91	676
119	92	674
120	92	672
121	93	671
122	93	669
123	94	668
124	95	667
125	96	666
126	96	665
127	97	665
128	98	664
129	99	663
130	99	662
131	100	662
132	101	661
133	102	660
134	103	661
135	103	660
136	104	659
137	105	658
138	106	657
139	106	656
140	107	657
141	108	655
142	109	655
143	110	654
144	110	653
145	111	651
146	112	650
147	112	649
148	113	648
149	114	647
150	115	647
151	116	648
152	117	648
153	117	647
154	118	646
155	119	644
156	119	643
157	120	643
158	121	642
159	122	641
160	122	640
161	123	639
162	124	637
163	124	636
164	125	634
165	126	633
166	126	632
167	127	631
168	128	631
169	129	630
170	129	629
171	130	629
172	131	629
173	132	628
174	132	626
175	133	624
176	134	624
177	134	623
178	135	622
179	136	621
180	137	620
181	137	619
182	138	618
183	139	617
184	140	617
185	141	617
186	141	616
187	142	614
188	143	614
189	143	613
190	144	613
191	145	612
192	146	612
193	147	611
194	148	611
195	148	611
196	149	610
197	150	609
198	151	608
199	151	607
200	152	606
201	153	606
202	154	604
203	154	604
204	155	602
205	156	601
206	156	600
207	157	599
208	158	598
209	158	597
210	159	597
211	160	596
212	161	596
213	162	596
214	163	595
215	163	594
216	164	593
217	165	593
218	166	592
219	166	591
220	167	590
221	168	589
222	168	588
223	169	587
224	170	586
225	171	585
226	171	584
227	172	583
228	172	582
229	173	581
230	174	580
231	175	580
232	176	579
233	176	578
234	177	578
235	178	576
236	178	575
237	179	575
238	180	574
239	180	572
240	181	572
241	182	571
242	183	570
243	183	569
244	184	568
245	185	567
246	185	566
247	186	565
248	187	564
249	188	564
250	188	563
251	189	563
252	190	563
253	191	562
254	192	561
255	193	560
256	193	560
257	194	559
258	195	558
259	195	557
260	196	556
261	197	556
262	198	555
263	198	554
264	199	553
265	200	552
266	201	551
267	201	551
268	202	550
269	203	549
270	203	548
271	204	547
272	205	547
273	206	546
274	206	545
275	207	544
276	208	543
277	208	542
278	209	541
279	210	540
280	211	540
281	211	539
282	212	538
283	213	537
284	214	537
285	214	535
286	215	535
287	216	534
288	216	532
289	217	532
290	218	531
291	218	530
292	219	529
293	220	529
294	220	528
295	221	527
296	222	526
297	223	525
298	223	524
299	224	524
300	225	523
301	226	522
302	226	521
303	227	521
304	228	520
305	228	519
306	229	517
307	229	516
308	230	515
309	231	514
310	231	513
311	232	512
312	233	511
313	234	511
314	235	511
315	235	510
316	236	508
317	236	508
318	237	507
319	238	506
320	239	505
321	239	504
322	240	504
323	241	503
324	241	502
325	242	501
326	243	500
327	243	499
328	244	498
329	245	497
330	245	497
331	246	496
332	247	495
333	248	495
334	248	493
335	249	493
336	250	493
337	251	492
338	252	491
339	252	490
340	253	490
341	254	489
342	255	488
343	255	487
344	256	487
345	257	486
346	258	485
347	258	484
348	259	483
349	259	482
350	260	481
351	261	481
352	262	480
353	262	479
354	263	479
355	264	479
356	265	478
357	266	477
358	267	477
359	268	476
360	268	475
361	269	475
362	270	474
363	271	473
364	271	472
365	272	471
366	273	471
367	273	470
368	274	469
369	275	468
370	275	467
371	276	467
372	277	466
373	278	466
374	279	466
375	280	465
376	281	464
377	281	463
378	282	463
379	283	462
380	284	461
381	284	460
382	285	460
383	286	459
384	286	458
385	287	457
386	288	456
387	289	455
388	289	455
389	290	454
390	291	453
391	292	452
392	292	452
393	293	452
394	295	451
395	295	451
396	296	450
397	297	449
398	297	448
399	298	448
400	299	447
401	300	446
402	300	445
403	301	445
404	302	444
405	303	443
406	303	442
407	304	441
408	305	441
409	305	440
410	306	439
411	307	438
412	308	438
413	309	437
414	310	437
415	311	436
416	311	435
417	312	435
418	313	434
419	314	433
420	314	432
421	315	431
422	315	430
423	316	429
424	316	428
425	317	428
426	318	427
427	319	426
428	319	425
429	320	424
430	321	423
431	321	423
432	322	422
433	323	421
434	324	421
435	324	420
436	325	419
437	326	418
438	326	417
439	327	417
440	328	416
441	329	415
442	329	414
443	330	413
444	331	413
445	332	412
446	332	411
447	333	410
448	334	410
449	334	409
450	335	408
451	336	407
452	336	406
453	337	406
454	338	405
455	339	405
456	340	404
457	340	403
458	341	402
459	342	401
460	343	401
461	343	400
462	344	399
463	345	398
464	346	398
465	346	397
466	347	396
